Order ID,Customer ID,Product ID,Order Date,Year,Month Name,Week No,Fiscal Quarter,Country,State,City,Region,Market,Category,Sub Category,Product Name,Sales,Profit,Quantity,Discount,Shipping Cost,Delivery Date,Delivery Days,Customer Name ,Customer Gender,Customer Age,Segment,Ship Mode,Order Priority,Salesperson,Return Status,Payment Mode
ORD00001,CUST3376,PROD574,04-05-2025,2025,May,18,Q2,India,Maharashtra,Mumbai,East,India,Appliances,Appliances Sub,Leptop,4483,532.34,2,0.09,266.9,08-05-2025,4,Mahesh Menon,Male,20,Consumer,Same Day,Critical,Rohan Mehta,Not Returned,Credit Card
ORD00002,CUST2424,PROD555,05-05-2025,2025,February,6,Q1,India,Uttar Pradesh,Lucknow,West,India,Technology,Technology Sub,Mouse,3682,868.1,5,0.18,196.76,12-05-2025,7,Swati Dubey,Male,33,Consumer,Standard Class,High,Rohan Mehta,Not Returned,UPI
ORD00003,CUST7596,PROD141,06-05-2025,2024,May,20,Q2,India,West Bengal,Kolkata,East,India,Sports,Sports Sub,Cricket Bat,5783,782.71,8,0.18,282.21,09-05-2025,3,Amit Kapoor,Male,46,Corporate,Same Day,Critical,Amit Sharma,Not Returned,Debit Card
ORD00004,CUST5676,PROD192,07-05-2025,2024,March,9,Q1,India,West Bengal,Kolkata,South,India,Beauty,Beauty Sub,Face Wash,5559,485.77,4,0.17,171.83,13-05-2025,6,Aarti Ghosh,Male,45,Corporate,Standard Class,Low,Amit Sharma,Not Returned,UPI
ORD00005,CUST6414,PROD729,08-05-2025,2025,October,41,Q4,India,Karnataka,Bengaluru,East,India,Beauty,Beauty Sub,Face Wash,4324,390.61,4,0.22,288.62,15-05-2025,7,Karan Kapoor,Female,49,Consumer,Second Class,High,Vivek Verma,Not Returned,Net Banking
ORD00006,CUST4778,PROD477,09-05-2025,2024,September,39,Q3,India,Karnataka,Bengaluru,South,India,Office Supplies,Office Supplies Sub,Pen Set,5298,948.52,8,0.12,201.75,16-05-2025,7,Rohit Kapoor,Female,19,Home Office,Standard Class,Medium,Pankaj Kumar,Not Returned,Credit Card
ORD00007,CUST5043,PROD100,10-05-2025,2024,June,26,Q2,India,Uttar Pradesh,Varanasi,West,India,Office Supplies,Office Supplies Sub,Printer Paper,5620,999.14,4,0.19,287.22,12-05-2025,2,Meera Nair,Male,31,Corporate,First Class,Critical,Vivek Verma,Returned,COD
ORD00008,CUST5239,PROD449,11-05-2025,2024,January,1,Q1,India,West Bengal,Kolkata,East,India,Electronics,Electronics Sub,Headphones,3939,432.53,5,0.24,291.96,18-05-2025,7,Karan Arora,Female,45,Corporate,First Class,High,Amit Sharma,Not Returned,Net Banking
ORD00009,CUST4538,PROD750,12-05-2025,2025,January,3,Q1,India,Uttar Pradesh,Prayagraj,West,India,Groceries,Groceries Sub,Dry Fruits,6934,954.65,2,0.22,458.32,16-05-2025,4,Meera Patel,Female,57,Corporate,Second Class,High,Anjali Gupta,Not Returned,UPI
ORD00010,CUST1595,PROD878,13-05-2025,2025,August,33,Q3,India,West Bengal,Kolkata,North,India,Office Supplies,Office Supplies Sub,Printer Paper,4197,757.23,7,0.16,182.32,16-05-2025,3,Anika Menon,Male,20,Corporate,Standard Class,Medium,Sandeep Yadav,Not Returned,Net Banking
ORD00011,CUST6466,PROD528,14-05-2025,2025,December,1,Q4,India,Delhi,New Delhi,East,India,Office Supplies,Office Supplies Sub,Notebook,4677,799.44,2,0.24,244.18,16-05-2025,2,Shreya Dubey,Male,64,Consumer,Second Class,Medium,Vivek Verma,Returned,Credit Card
